Log file: 2018-11-20-15-09
1542755565.02: Expt started
0.000197887420654: Initialization of the stepper motor
14.1869797707: End of initialization of the stepper motor
14.1870028973: Change gap
24.2563989162: Gap changed
24.2570159435: Rollers started
24.257144928: Conveyors started
34.3395969868: Conveyors stopped
34.3524029255: Rollers stopped
34.3524959087: Change gap
34.3532109261: Gap changed
34.3534889221: Rollers started
34.3535838127: Conveyors started
44.9436869621: Conveyors stopped
44.9636859894: Rollers stopped
44.9637839794: Change gap
44.9644269943: Gap changed
44.9646577835: Rollers started
44.9647657871: Conveyors started
55.5479078293: Conveyors stopped
55.5708258152: Rollers stopped
55.5709049702: Change gap
55.5715298653: Gap changed
55.5717968941: Rollers started
55.5718770027: Conveyors started
65.656113863: Conveyors stopped
65.6681909561: Rollers stopped
65.668309927: Change gap
65.6689097881: Gap changed
65.6696717739: Rollers started
65.6697797775: Conveyors started
76.276227951: Conveyors stopped
76.2969369888: Rollers stopped
76.2970178127: Change gap
76.2976257801: Gap changed
76.2978839874: Rollers started
76.2979748249: Conveyors started
86.4005508423: Conveyors stopped
86.4218969345: Rollers stopped
86.4219808578: Change gap
86.4225959778: Gap changed
86.4228568077: Rollers started
86.422950983: Conveyors started
97.0207798481: Conveyors stopped
97.0365629196: Rollers stopped
97.0366408825: Change gap
97.0372138023: Gap changed
97.0374829769: Rollers started
97.037555933: Conveyors started
107.625011921: Conveyors stopped
107.64415288: Rollers stopped
107.644244909: Change gap
107.644842863: Gap changed
107.645108938: Rollers started
107.645190954: Conveyors started
117.829396963: Conveyors stopped
117.843164921: Rollers stopped
117.843248844: Change gap
117.843827963: Gap changed
117.844110966: Rollers started
117.844180822: Conveyors started
127.953745842: Conveyors stopped
127.970958948: Rollers stopped
